HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
"Man United","Fulham",5,1,"H","A Marriner",15,12,7,8,5,2,14,20,1,1,0,0
"Charlton","Man United",0,3,"A","C Foy",8,21,2,11,4,11,14,11,1,1,0,0
"Watford","Man United",1,2,"A","P Dowd",8,19,7,10,4,7,20,14,1,1,0,0
"Man United","Tottenham",1,0,"H","M Riley",10,9,5,4,5,4,12,17,2,2,0,0
"Man United","Arsenal",0,1,"A","G Poll",17,14,9,7,10,5,11,11,2,2,0,0
"Reading","Man United",1,1,"D","P Walton",3,18,1,8,2,6,6,10,0,0,0,0
"Man United","Newcastle",2,0,"H","M Dean",24,3,11,3,8,3,5,13,1,3,0,0
"Wigan","Man United",1,3,"A","S Bennett",6,12,2,5,2,5,7,8,0,2,0,0
"Man United","Liverpool",2,0,"H","G Poll",10,13,8,5,5,5,14,21,1,3,0,0
"Bolton","Man United",0,4,"A","R Styles",8,15,3,10,7,2,18,11,2,2,0,0
"Man United","Portsmouth",3,0,"H","M Dean",18,8,11,5,9,5,6,9,0,1,0,0
"Blackburn","Man United",0,1,"A","M Riley",9,14,4,7,6,4,17,8,4,3,0,0
"Sheffield United","Man United",1,2,"A","M Clattenburg",5,22,3,15,0,14,19,10,1,1,0,0
"Man United","Chelsea",1,1,"D","H Webb",8,13,5,7,3,2,16,12,1,3,0,0
"Man United","Everton",3,0,"H","M Halsey",18,7,6,4,3,2,15,15,1,1,0,0
"Middlesbrough","Man United",1,2,"A","C Foy",13,11,5,7,6,9,12,16,2,3,0,0
"Man United","Man City",3,1,"H","G Poll",20,15,11,7,7,4,15,19,1,3,0,1
"West Ham","Man United",1,0,"H","P Dowd",10,19,4,11,1,11,25,10,3,2,0,0
"Aston Villa","Man United",0,3,"A","S Bennett",11,14,3,10,6,8,12,11,2,2,0,0
"Man United","Wigan",3,1,"H","M Riley",17,6,8,3,8,1,12,14,0,0,0,0
"Man United","Reading",3,2,"H","M Dean",28,7,12,3,13,4,9,11,1,2,0,1
"Newcastle","Man United",2,2,"D","R Styles",8,20,8,8,1,10,11,10,1,2,0,0
"Man United","Aston Villa",3,1,"H","H Webb",27,7,17,5,8,4,8,15,1,1,0,0
"Arsenal","Man United",2,1,"H","S Bennett",18,10,11,6,8,6,13,11,1,3,0,0
"Man United","Watford",4,0,"H","M Dean",21,2,10,1,7,2,11,11,2,2,0,0
"Tottenham","Man United",0,4,"A","M Clattenburg",10,12,5,7,5,7,8,16,2,3,0,0
"Man United","Charlton",2,0,"H","M Riley",18,8,11,2,5,3,11,8,0,1,0,0
"Fulham","Man United",1,2,"A","P Walton",16,16,6,8,3,7,16,12,3,2,0,0
"Liverpool","Man United",0,1,"A","M Atkinson",15,5,8,3,12,2,11,12,2,2,0,1
"Man United","Bolton",4,1,"H","A Wiley",15,7,7,0,1,5,14,13,1,2,0,0
"Man United","Blackburn",4,1,"H","C Foy",27,6,17,3,8,1,7,12,1,3,0,0
"Portsmouth","Man United",2,1,"H","M Clattenburg",14,15,9,7,8,7,13,2,3,1,0,0
"Man United","Sheffield United",2,0,"H","R Styles",13,10,10,3,4,1,10,13,5,3,0,0
"Man United","Middlesbrough",1,1,"D","P Walton",21,10,9,5,6,7,10,17,2,5,0,0
"Everton","Man United",2,4,"A","A Wiley",8,18,3,12,4,9,17,11,1,1,0,0
"Man City","Man United",0,1,"A","R Styles",4,6,3,3,5,3,13,10,2,2,0,0
"Chelsea","Man United",0,0,"D","G Poll",15,5,10,0,8,1,12,20,3,4,0,0
"Man United","West Ham",0,1,"A","M Atkinson",28,6,20,4,14,3,13,11,0,2,0,0
"Man United","Reading",0,0,"D","R Styles",22,3,9,2,12,3,8,16,0,2,0,1
"Portsmouth","Man United",1,1,"D","S Bennett",7,20,6,12,6,12,13,5,2,1,1,1
"Man City","Man United",1,0,"H","M Clattenburg",6,15,2,6,0,11,8,11,2,2,0,0
"Man United","Tottenham",1,0,"H","H Webb",14,10,5,3,4,4,15,7,2,3,0,0
"Man United","Sunderland",1,0,"H","M Atkinson",17,4,9,1,6,0,10,7,1,2,0,0
"Everton","Man United",0,1,"A","A Wiley",8,16,2,8,3,6,20,10,2,2,0,0
